"name","count","countries","cities","roles","samples","etoStatus"
"Istanbul Airport (IST)","26","Turkey","Istanbul","to|from","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST)","present_exact"
"Istanbul Sabiha Gokcen Airport (SAW)","26","Turkey","Istanbul","to|from","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Sabiha Gokcen Airport (SAW)","present_exact"
"Ivanovo","5","Russia","Ivanovo","to","Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo","present_exact"
"Ivanovo Yuzhny Airport (IWA)","5","Russia","Ivanovo","from","Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo","present_exact"
"Izhevsk","4","Russia","Izhevsk","to","Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk","present_exact"
"Izhevsk Airport (IJK)","4","Russia","Izhevsk","from","Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk","present_exact"
"Izmir Adnan Menderes Airport (ADB)","3","Turkey","Kusadası","from","Izmir Adnan Menderes Airport (ADB) -> Kusadası || Izmir Adnan Menderes Airport (ADB) -> Kusadası || Izmir Adnan Menderes Airport (ADB) -> Kusadası","present_exact"
"Jakobsberg","2","Sweden","Jakobsberg","to","Stockholm Arlanda Airport (ARN) -> Jakobsberg || Stockholm Arlanda Airport (ARN) -> Jakobsberg","present_exact"
"Järvenpää","3","Finland","Järvenpää","to","Helsinki Vantaa airport (HEL) -> Järvenpää || Helsinki Vantaa airport (HEL) -> Järvenpää || Helsinki Vantaa airport (HEL) -> Järvenpää","present_exact"
"Jeju Airport (CJU)","3","South Korea","Jeju city center|Jeju outskirts|Seogwipo City Center","from","Jeju Airport (CJU) -> Jeju city center || Jeju Airport (CJU) -> Jeju outskirts || Jeju Airport (CJU) -> Seogwipo City Center","present_exact"
"Jeju city center","1","South Korea","Jeju city center","to","Jeju Airport (CJU) -> Jeju city center","present_exact"
"Jeju outskirts","1","South Korea","Jeju outskirts","to","Jeju Airport (CJU) -> Jeju outskirts","present_exact"
"Jeonju","3","South Korea","Jeonju","to","Busan Gimhae Airport (PUS) -> Jeonju || Busan Gimhae Airport (PUS) -> Jeonju || Busan Gimhae Airport (PUS) -> Jeonju","present_exact"
"Jerash","6","Jordan","Jerash","to","Amman Civil Airport (Marka) (ADJ) -> Jerash || Amman Civil Airport (Marka) (ADJ) -> Jerash || Amman Civil Airport (Marka) (ADJ) -> Jerash","present_exact"
"Jimbaran","2","Indonesia","Jimbaran","to","Denpasar Ngurah Rai Airport (DPS) -> Jimbaran || Ubud -> Jimbaran","present_exact"
"Joensuu","6","Finland","Joensuu","to","Helsinki Vantaa airport (HEL) -> Joensuu || Helsinki Vantaa airport (HEL) -> Joensuu || Helsinki Vantaa airport (HEL) -> Joensuu","present_exact"
"Johanneshov district, Stockholm","2","Sweden","Johanneshov district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Johanneshov district, Stockholm || Stockholm Arlanda Airport (ARN) -> Johanneshov district, Stockholm","present_exact"
"John Wayne Airport (SNA)","260","United States of America","Anaheim|Bakersfield|Beverly Hills|Buena Park|Calabasas|Chula Vista|Downtown Los Angeles|El Cajon|Fresno|Inglewood|Irvine|Jurupa Valley|Laguna Beach|Lake Forest, Mission Viejo|Las Vegas|Long Beach|Malibu|Montrose|Newport Beach|Ojai+Oak View|Ontario|Orange|Oxnard+Ventura+Camarillo|Palm Springs+Coachella|Pomona|San Bernardino|San Clemente|San Diego|San Fernando|San Francisco|San Marcos+Rancho Santa Fe+Escondido|Santa Barbara+Carpinteria|Santa Clarita|Santa Monica|Sunland+Tujunga|Thousand Oaks+Simi Valley","from","John Wayne Airport (SNA) -> Anaheim || John Wayne Airport (SNA) -> Anaheim || John Wayne Airport (SNA) -> Anaheim","present_exact"
"Jokkmokk","2","Sweden","Jokkmokk","to","Gällivare Airport (GEV) -> Jokkmokk || Luleå Airport (LLA) -> Jokkmokk","present_exact"
"Jonköping / Jonkoping","1","Sweden","Jonköping / Jonkoping","to","Gothenburg Landvetter Airport (GOT) -> Jonköping / Jonkoping","present_exact"
"Jukkasjärvi","1","Sweden","Jukkasjärvi","to","Kiruna Airport (KRN) -> Jukkasjärvi","present_exact"
"Jurupa Valley","21","United States of America","Jurupa Valley","to","John Wayne Airport (SNA) -> Jurupa Valley || John Wayne Airport (SNA) -> Jurupa Valley || John Wayne Airport (SNA) -> Jurupa Valley","present_exact"
"JVC Dubai","8","United Arab Emirates","JVC Dubai","to","Dubai international Airport (DXB) -> JVC Dubai || Dubai international Airport (DXB) -> JVC Dubai || Dubai international Airport (DXB) -> JVC Dubai","present_exact"
"Kadriye","5","Turkey","Kadriye","to","Antalya Airport (AYT) -> Kadriye || Antalya Airport (AYT) -> Kadriye || Antalya Airport (AYT) -> Kadriye","present_exact"
"Kaitaa / Soukka / Matinkyla / Olari / Latokaski","3","Finland","Kaitaa / Soukka / Matinkyla / Olari / Latokaski","to","Helsinki Vantaa airport (HEL) -> Kaitaa / Soukka / Matinkyla / Olari / Latokaski || Helsinki Vantaa airport (HEL) -> Kaitaa / Soukka / Matinkyla / Olari / Latokaski || Helsinki Vantaa airport (HEL) -> Kaitaa / Soukka / Matinkyla / Olari / Latokaski","present_exact"
"Kaivonkatsojantie, Helsinki","1","Finland","Kaivonkatsojantie, Helsinki","to","Helsinki Vantaa airport (HEL) -> Kaivonkatsojantie, Helsinki","present_exact"
"Kajaani","3","Finland","Kajaani","to","Helsinki Vantaa airport (HEL) -> Kajaani || Helsinki Vantaa airport (HEL) -> Kajaani || Helsinki Vantaa airport (HEL) -> Kajaani","present_exact"
"Kakopetria","1","Cyprus","Kakopetria","to","Larnaca Airport (LCA) -> Kakopetria","present_exact"
"Kalai, Phang Nga","2","Thailand","Kalai, Phang Nga","to","Phuket International Airport (HKT) -> Kalai, Phang Nga || Phuket International Airport (HKT) -> Kalai, Phang Nga","present_exact"
"Kalba / Qalba","3","United Arab Emirates","Kalba / Qalba","to","Sharjah Airport (SHJ) -> Kalba / Qalba || Sharjah Airport (SHJ) -> Kalba / Qalba || Sharjah Airport (SHJ) -> Kalba / Qalba","present_exact"
"Kaliningrad","4","Russia","Kaliningrad","to","Kaliningrad Khrabrovo Airport (KGD) -> Kaliningrad || Kaliningrad Khrabrovo Airport (KGD) -> Kaliningrad || Kaliningrad Khrabrovo Airport (KGD) -> Kaliningrad","present_exact"
"Kaliningrad Khrabrovo Airport (KGD)","41","Russia","Baltiysk|Gdansk|Kaliningrad|Pionerskiy|Rybachy|Svetlogorsk|Warsaw|Yantarny|Zelenogradsk","from","Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk","present_exact"
"Kalkan","4","Turkey","Kalkan","to","Antalya Airport (AYT) -> Kalkan || Antalya Airport (AYT) -> Kalkan || Antalya Airport (AYT) -> Kalkan","present_exact"
"Kalmar","1","Sweden","Kalmar","to","Kalmar Airport (KLR) -> Kalmar","present_exact"
"Kalmar Airport (KLR)","2","Sweden","Borgholm|Kalmar","from","Kalmar Airport (KLR) -> Borgholm || Kalmar Airport (KLR) -> Kalmar","present_exact"
"Kalo Chorio Limassol","1","Cyprus","Kalo Chorio Limassol","to","Larnaca Airport (LCA) -> Kalo Chorio Limassol","present_exact"
"Kalopanagiotis","1","Cyprus","Kalopanagiotis","to","Larnaca Airport (LCA) -> Kalopanagiotis","present_exact"
"Kamakura","9","Japan","Kamakura","to","Tokyo (within 23 wards) -> Kamakura || Tokyo (within 23 wards) -> Kamakura || Tokyo (within 23 wards) -> Kamakura","present_exact"
"Kamala beach, Phuket","10","Thailand","Kamala beach, Phuket","to","Krabi International Airport (KBV) -> Kamala beach, Phuket || Krabi International Airport (KBV) -> Kamala beach, Phuket || Phuket International Airport (HKT) -> Kamala beach, Phuket","present_exact"
"Kanchanaburi","6","Thailand","Kanchanaburi","to","Bangkok Don Muang Airport (DMK) -> Kanchanaburi || Bangkok Don Muang Airport (DMK) -> Kanchanaburi || Bangkok Suvarnabhumi Airport (BKK) -> Kanchanaburi","present_exact"
"Kandy","2","Sri-Lanka","Kandy","to","Colombo Bandaranaike Airport (CMB) -> Kandy || Hikkaduwa -> Kandy","present_exact"
"Kao Lanta Pier Thailand","4","Thailand","Kao Lanta Pier Thailand","to","Phuket International Airport (HKT) -> Kao Lanta Pier Thailand || Phuket International Airport (HKT) -> Kao Lanta Pier Thailand || Surat Thani Airport (URT) -> Kao Lanta Pier Thailand","present_exact"
"Kaohsiung Airport (KHH)","9","Taiwan","Donggang Township|Pingdong City|Xinyuan Township","from","Kaohsiung Airport (KHH) -> Donggang Township || Kaohsiung Airport (KHH) -> Donggang Township || Kaohsiung Airport (KHH) -> Donggang Township","present_exact"
"Kapellskär port","2","Sweden","Kapellskär port","to","Stockholm Arlanda Airport (ARN) -> Kapellskär port || Stockholm Arlanda Airport (ARN) -> Kapellskär port","present_exact"
"Kapong, Phang Nga","2","Thailand","Kapong, Phang Nga","to","Phuket International Airport (HKT) -> Kapong, Phang Nga || Phuket International Airport (HKT) -> Kapong, Phang Nga","present_exact"
"Karak","6","Jordan","Karak","to","Amman Civil Airport (Marka) (ADJ) -> Karak || Amman Civil Airport (Marka) (ADJ) -> Karak || Amman Civil Airport (Marka) (ADJ) -> Karak","present_exact"
"Kargıcak","4","Turkey","Kargıcak","to","Antalya Airport (AYT) -> Kargıcak || Antalya Airport (AYT) -> Kargıcak || Antalya Airport (AYT) -> Kargıcak","present_exact"
"Karlskrona","1","Sweden","Karlskrona","to","Ronneby Airport (RNB) -> Karlskrona","present_exact"
"Karon Beach, Phuket","6","Thailand","Karon Beach, Phuket","to","Phuket International Airport (HKT) -> Karon Beach, Phuket || Phuket International Airport (HKT) -> Karon Beach, Phuket || Phuket International Airport (HKT) -> Karon Beach, Phuket","present_exact"
"Karuizawa","9","Japan","Karuizawa","to","Tokyo (within 23 wards) -> Karuizawa || Tokyo (within 23 wards) -> Karuizawa || Tokyo (within 23 wards) -> Karuizawa","present_exact"
"Karvonranta","2","Finland","Karvonranta","to","Rovaniemi Airport (RVN) -> Karvonranta || Rovaniemi Airport (RVN) -> Karvonranta","present_exact"
"Kas / Kaş","4","Turkey","Kas / Kaş","to","Antalya Airport (AYT) -> Kas / Kaş || Antalya Airport (AYT) -> Kas / Kaş || Antalya Airport (AYT) -> Kas / Kaş","present_exact"
"Kata Village and Beach, Phuket","8","Thailand","Kata Village and Beach, Phuket","to","Krabi International Airport (KBV) -> Kata Village and Beach, Phuket || Krabi International Airport (KBV) -> Kata Village and Beach, Phuket || Phuket International Airport (HKT) -> Kata Village and Beach, Phuket","present_exact"
"Kathu, Phuket","2","Thailand","Kathu, Phuket","to","Phuket International Airport (HKT) -> Kathu, Phuket || Phuket International Airport (HKT) -> Kathu, Phuket","present_exact"
"Katikas","1","Cyprus","Katikas","to","Paphos Airport (PFO) -> Katikas","present_exact"
"Kaunas","5","Lithuania","Kaunas","to","Kaunas Airport (KUN) -> Kaunas || Kaunas Airport (KUN) -> Kaunas || Kaunas Airport (KUN) -> Kaunas","present_exact"
"Kaunas Airport (KUN)","3","Lithuania","Kaunas","from","Kaunas Airport (KUN) -> Kaunas || Kaunas Airport (KUN) -> Kaunas || Kaunas Airport (KUN) -> Kaunas","present_exact"
"Kaunianen","3","Finland","Kaunianen","to","Helsinki Vantaa airport (HEL) -> Kaunianen || Helsinki Vantaa airport (HEL) -> Kaunianen || Helsinki Vantaa airport (HEL) -> Kaunianen","present_exact"
"Kazan","4","Russia","Kazan","to","Kazan International Airport (KZN) -> Kazan || Kazan International Airport (KZN) -> Kazan || Samara Kurumoch International Airport (KUF) -> Kazan","present_exact"
"Kazan International Airport (KZN)","5","Russia","Elabuga|Kazan|Naberezhnye Chelny|Nizhnekamsk","from","Kazan International Airport (KZN) -> Elabuga || Kazan International Airport (KZN) -> Kazan || Kazan International Airport (KZN) -> Kazan","present_exact"
"Keelung City","6","Taiwan","Keelung City","to","Taipei Songshan Airport (TSA) -> Keelung City || Taipei Songshan Airport (TSA) -> Keelung City || Taipei Songshan Airport (TSA) -> Keelung City","present_exact"
"Kelaki","1","Cyprus","Kelaki","to","Larnaca Airport (LCA) -> Kelaki","present_exact"
"Kelowna","3","Canada","Kelowna","to","Vancouver Airport (YVR) -> Kelowna || Vancouver Airport (YVR) -> Kelowna || Vancouver Airport (YVR) -> Kelowna","present_exact"
"Kemer, Antalia","4","Turkey","Kemer, Antalia","to","Antalya Airport (AYT) -> Kemer, Antalia || Antalya Airport (AYT) -> Kemer, Antalia || Antalya Airport (AYT) -> Kemer, Antalia","present_exact"
"Kemerovo","5","Russia","Kemerovo","to","Kemerovo International Airport (KEJ) -> Kemerovo || Kemerovo International Airport (KEJ) -> Kemerovo || Kemerovo International Airport (KEJ) -> Kemerovo","present_exact"
"Kemerovo International Airport (KEJ)","5","Russia","Kemerovo","from","Kemerovo International Airport (KEJ) -> Kemerovo || Kemerovo International Airport (KEJ) -> Kemerovo || Kemerovo International Airport (KEJ) -> Kemerovo","present_exact"
"Kemi","3","Finland","Kemi","to","Helsinki Vantaa airport (HEL) -> Kemi || Helsinki Vantaa airport (HEL) -> Kemi || Helsinki Vantaa airport (HEL) -> Kemi","present_exact"
"Kerava","1","Finland","Kerava","to","Helsinki Vantaa airport (HEL) -> Kerava","present_exact"
"Kestel","3","Turkey","Kestel","to","Antalya Airport (AYT) -> Kestel || Antalya Airport (AYT) -> Kestel || Antalya Airport (AYT) -> Kestel","present_exact"
"Kha Nom, Nakhon Si Thammarat","2","Thailand","Kha Nom, Nakhon Si Thammarat","to","Phuket International Airport (HKT) -> Kha Nom, Nakhon Si Thammarat || Phuket International Airport (HKT) -> Kha Nom, Nakhon Si Thammarat","present_exact"
"Khabarovsk","4","Russia","Khabarovsk","to","Khabarovsk Novy Airport (KHV) -> Khabarovsk || Khabarovsk Novy Airport (KHV) -> Khabarovsk || Khabarovsk Novy Airport (KHV) -> Khabarovsk","present_exact"
"Khabarovsk Novy Airport (KHV)","4","Russia","Khabarovsk","from","Khabarovsk Novy Airport (KHV) -> Khabarovsk || Khabarovsk Novy Airport (KHV) -> Khabarovsk || Khabarovsk Novy Airport (KHV) -> Khabarovsk","present_exact"
"Khanty-Mansiysk","3","Russia","Khanty-Mansiysk","to","Khanty-Mansiysk Airport (HMA) -> Khanty-Mansiysk || Khanty-Mansiysk Airport (HMA) -> Khanty-Mansiysk || Khanty-Mansiysk Airport (HMA) -> Khanty-Mansiysk","present_exact"
"Khanty-Mansiysk Airport (HMA)","3","Russia","Khanty-Mansiysk","from","Khanty-Mansiysk Airport (HMA) -> Khanty-Mansiysk || Khanty-Mansiysk Airport (HMA) -> Khanty-Mansiysk || Khanty-Mansiysk Airport (HMA) -> Khanty-Mansiysk","present_exact"
"Khao Lak, Phang Nga","11","Thailand","Khao Lak, Phang Nga","to","Bangkok Suvarnabhumi Airport (BKK) -> Khao Lak, Phang Nga || Bangkok Suvarnabhumi Airport (BKK) -> Khao Lak, Phang Nga || Krabi International Airport (KBV) -> Khao Lak, Phang Nga","present_exact"
"Khao Phanom District, Krabi","2","Thailand","Khao Phanom District, Krabi","to","Phuket International Airport (HKT) -> Khao Phanom District, Krabi || Phuket International Airport (HKT) -> Khao Phanom District, Krabi","present_exact"
"Khao Sok National Park, Surat Thani","6","Thailand","Khao Sok National Park, Surat Thani","to","Phuket International Airport (HKT) -> Khao Sok National Park, Surat Thani || Phuket International Airport (HKT) -> Khao Sok National Park, Surat Thani || Phuket International Airport (HKT) -> Khao Sok National Park, Surat Thani","present_exact"
"Khao Yai National Park","6","Thailand","Khao Yai National Park","to","Bangkok Don Muang Airport (DMK) -> Khao Yai National Park || Bangkok Don Muang Airport (DMK) -> Khao Yai National Park || Bangkok Suvarnabhumi Airport (BKK) -> Khao Yai National Park","present_exact"
"Khaosan, Bangkok","1","Thailand","Khaosan, Bangkok","to","Bangkok Suvarnabhumi Airport (BKK) -> Khaosan, Bangkok","present_exact"
"Kharkiv","3","Ukraine","Kharkiv","to","Kharkiv International Airport (HRK) -> Kharkiv || Kharkiv International Airport (HRK) -> Kharkiv || Kharkiv International Airport (HRK) -> Kharkiv","present_exact"
"Kharkiv International Airport (HRK)","3","Ukraine","Kharkiv","from","Kharkiv International Airport (HRK) -> Kharkiv || Kharkiv International Airport (HRK) -> Kharkiv || Kharkiv International Airport (HRK) -> Kharkiv","present_exact"
"Khlong Thoei, bangkok","1","Thailand","Khlong Thoei, bangkok","to","Bangkok Suvarnabhumi Airport (BKK) -> Khlong Thoei, bangkok","present_exact"
"Khor Fakkan","3","United Arab Emirates","Khor Fakkan","to","Sharjah Airport (SHJ) -> Khor Fakkan || Sharjah Airport (SHJ) -> Khor Fakkan || Sharjah Airport (SHJ) -> Khor Fakkan","present_exact"
"Khuan Tung Ku Pier, Trang","2","Thailand","Khuan Tung Ku Pier, Trang","to","Phuket International Airport (HKT) -> Khuan Tung Ku Pier, Trang || Phuket International Airport (HKT) -> Khuan Tung Ku Pier, Trang","present_exact"
"Khura Buri district, Phang Nga","2","Thailand","Khura Buri district, Phang Nga","to","Phuket International Airport (HKT) -> Khura Buri district, Phang Nga || Phuket International Airport (HKT) -> Khura Buri district, Phang Nga","present_exact"
"Kiev Boryspil International Airport (KBP)","5","Ukraine","Kiev City center","from","Kiev Boryspil International Airport (KBP) -> Kiev City center || Kiev Boryspil International Airport (KBP) -> Kiev City center || Kiev Boryspil International Airport (KBP) -> Kiev City center","present_exact"
"Kiev City center","10","Ukraine","Kiev City center","to","Kiev Boryspil International Airport (KBP) -> Kiev City center || Kiev Boryspil International Airport (KBP) -> Kiev City center || Kiev Boryspil International Airport (KBP) -> Kiev City center","present_exact"
"Kiev Zhuliany International Airport (IEV)","5","Ukraine","Kiev City center","from","Kiev Zhuliany International Airport (IEV) -> Kiev City center || Kiev Zhuliany International Airport (IEV) -> Kiev City center || Kiev Zhuliany International Airport (IEV) -> Kiev City center","present_exact"
"King Hussain Bridge","6","Jordan","King Hussain Bridge","to","Amman Civil Airport (Marka) (ADJ) -> King Hussain Bridge || Amman Civil Airport (Marka) (ADJ) -> King Hussain Bridge || Amman Civil Airport (Marka) (ADJ) -> King Hussain Bridge","present_exact"
